Provider Name,Address 1,Address 2,City,State,Zip,Public Phone,Latitude,Longitude,Geopoint,Last Report Date,Is PAP Site,Prescribing Services Available,Appointment URL,Home Delivery,Is ICATT Site,Has USG Product,Has Commercial Product,Has Paxlovid,Has Commercial Paxlovid,Has USG Paxlovid,Has Lagevrio,Has Commercial Lagevrio,Has USG Lagevrio,Has Veklury,Has Oseltamivir Generic,Has Oseltamivir Suspension,Has Oseltamivir Tamiflu,Has Baloxavir,Has Zanamivir,Has Peramivir,Grantee Code,Is Flu,Is COVID-19
CVS PHARMACY #05246,110 HWY 98,,PORT SAINT JOE,FL,32456,,30.01643,-85.43051,POINT (-85.43051 30.01643),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,CV1,FALSE,TRUE
PUBLIX PHARMACY #0567,2517 SOUTH FEDERAL HIGHWAY,,FT PIERCE,FL,34982,,27.31963,-80.316317,POINT (-80.316317 27.31963),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PX1,FALSE,TRUE
WALGREENS #4379,4320 26TH ST W,,BRADENTON,FL,34205-3563,,27.462954,-82.588373,POINT (-82.588373 27.462954),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WG1,FALSE,TRUE
PUBLIX PHARMACY #0894,6820 OKEECHOBEE BLVD,,WEST PALM BEACH,FL,33411,,26.705894,-80.150789,POINT (-80.150789 26.705894),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PX1,FALSE,TRUE
PUBLIX PHARMACY #0019,731 DUVAL STATION RD SUITE 4,,JACKSONVILLE,FL,32218,,30.485316,-81.604614,POINT (-81.604614 30.485316),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PX1,FALSE,TRUE
WALGREENS #456,1723 E YOUNG CIRCLE,,HOLLYWOOD,FL,33020-6824,,26.011616,-80.141115,POINT (-80.141115 26.011616),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WG1,FALSE,TRUE
PUBLIX PHARMACY #0061,3450 EAST SILVER SPRINGS BLVD,,OCALA,FL,34470,,29.194375,-82.08814,POINT (-82.08814 29.194375),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,PX1,FALSE,TRUE
WALGREENS #10900,3490 BIRD AVE,,MIAMI,FL,33133-4301,,25.735208,-80.249456,POINT (-80.249456 25.735208),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WG1,FALSE,TRUE
WALGREENS #621,5731 BIRD RD,,MIAMI,FL,33155-5301,,25.734894,-80.287093,POINT (-80.287093 25.734894),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WG1,FALSE,TRUE
WALGREENS #3650,2420 E COLONIAL DR,,ORLANDO,FL,32803-5019,,28.57416,-81.26227667,POINT (-81.26227667 28.57416),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WG1,FALSE,TRUE
WALGREENS #774,205 E GRANADA BLVD,,ORMOND BEACH,FL,32176-6632,,29.2923,-81.04145,POINT (-81.04145 29.2923),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WG1,FALSE,TRUE
WALMART PHARMACY 10-5037,464016 STATE ROAD 200,,YULEE,FL,32097,,30.622809,-81.534581,POINT (-81.534581 30.622809),12/6/2024 0:00,TRUE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,WM1,FALSE,TRUE
